"listing_id","total sum"
20331337,1.33225E+6
10105531,1.33225E+6
8964795,3.33062E+6
295565,3.7303E+6
17620359,3.7303E+6
18151860,3.7303E+6
1645724,3.86352E+6
70284,3.86352E+6
435389,3.86352E+6
842269,3.86352E+6
102951,3.86352E+6
206566,3.86352E+6
206634,3.86352E+6
113211,3.86352E+6
206637,3.86352E+6
435390,3.86352E+6
435391,3.86352E+6
10765781,3.86352E+6
474001,3.86352E+6
12833570,3.99675E+6
19995707,4.12998E+6
18522122,4.12998E+6
17371171,4.2632E+6
15448752,4.2632E+6
17543814,4.2632E+6
8763620,4.39642E+6
5299538,4.39642E+6
5253439,4.39642E+6
25787417,4.52965E+6
19586419,4.52965E+6
25682965,4.66288E+6
687430,4.66288E+6
18348152,4.66288E+6
21694543,4.66288E+6
26568351,4.7961E+6
9313424,4.7961E+6
16379931,4.7961E+6
17534666,4.7961E+6
15916933,4.7961E+6
15916432,4.7961E+6
26568647,4.7961E+6
18225736,4.92932E+6
18076361,4.92932E+6
16393469,4.92932E+6
18463185,4.92932E+6
4519780,5.06255E+6
72444,5.06255E+6
4670847,5.06255E+6
4890230,5.06255E+6
4897143,5.06255E+6
4902365,5.06255E+6
7343277,5.06255E+6
7067087,5.06255E+6
4902444,5.06255E+6
7067681,5.06255E+6
4464347,5.06255E+6
4518031,5.06255E+6
4519757,5.06255E+6
14268636,5.19578E+6
15828423,5.19578E+6
27392835,5.19578E+6
19995715,5.19578E+6
19995709,5.19578E+6
2135871,5.19578E+6
19763409,5.19578E+6
15321192,5.19578E+6
19476963,5.19578E+6
24137129,5.19578E+6
2980482,5.19578E+6
3571735,5.19578E+6
14076194,5.19578E+6
14075653,5.19578E+6
13225056,5.19578E+6
24961253,5.19578E+6
24961246,5.19578E+6
16125990,5.329E+6
351950,5.329E+6
20367610,5.329E+6
17807479,5.329E+6
26577224,5.329E+6
26033665,5.329E+6
16632907,5.329E+6
25774811,5.329E+6
20367796,5.329E+6
16469515,5.329E+6
24475148,5.329E+6
16297383,5.329E+6
10215581,5.329E+6
25741718,5.329E+6
20206140,5.329E+6
20206679,5.329E+6
20675629,5.329E+6
18391290,5.329E+6
27477003,5.329E+6
19586208,5.329E+6
16191041,5.329E+6
19459929,5.329E+6
17238534,5.329E+6
19423296,5.329E+6
16650008,5.329E+6
20675281,5.329E+6
20675434,5.329E+6
176274,5.329E+6
20628433,5.329E+6
11758590,5.329E+6
4317520,5.329E+6
20002089,5.59545E+6
20288640,5.59545E+6
21668538,5.59545E+6
74758,5.59545E+6
75422,5.59545E+6
20121178,5.59545E+6
81256,5.59545E+6
20121182,5.59545E+6
23468841,5.59545E+6
533193,5.72868E+6
10956845,5.72868E+6
15667714,5.72868E+6
20002459,5.72868E+6
292723,5.72868E+6
10775484,5.72868E+6
75423,5.8619E+6
20698881,5.8619E+6
15009918,5.8619E+6
351978,5.8619E+6
20698878,5.8619E+6
25138370,5.8619E+6
20957480,5.99512E+6
21371767,5.99512E+6
21356840,5.99512E+6
21343847,5.99512E+6
23632116,5.99512E+6
15204367,5.99512E+6
70753,5.99512E+6
14654471,5.99512E+6
14577765,5.99512E+6
24971376,5.99512E+6
13427895,5.99512E+6
18546459,5.99512E+6
229240,5.99512E+6
12857222,5.99512E+6
12857179,5.99512E+6
12857087,5.99512E+6
241235,5.99512E+6
12857011,5.99512E+6
12853799,5.99512E+6
259621,5.99512E+6
259622,5.99512E+6
12154955,5.99512E+6
12039322,5.99512E+6
25294961,5.99512E+6
